,Home,Away,Day,Time
0,ARI,SEA,N/A,N/A
1,PHI,CLE,N/A,N/A
2,ATL,NO,N/A,N/A
3,CIN,WSH,N/A,N/A
4,DET,CAR,N/A,N/A
5,PIT,JAX,N/A,N/A
6,TEN,BAL,N/A,N/A
7,NE,HOU,N/A,N/A
8,MIA,DEN,N/A,N/A
9,NYJ,LAC,N/A,N/A
10,GB,IND,N/A,N/A
11,DAL,MIN,N/A,N/A
12,KC,LV,N/A,N/A
13,LAR,TB,N/A,N/A
