,Home,Away,Day,Time
0,TB,CHI,N/A,N/A
1,CAR,ATL,N/A,N/A
2,LV,KC,N/A,N/A
3,ARI,NYJ,N/A,N/A
4,PHI,PIT,N/A,N/A
5,LAR,WSH,N/A,N/A
6,CIN,BAL,N/A,N/A
7,JAX,HOU,N/A,N/A
8,MIA,SF,N/A,N/A
9,IND,CLE,N/A,N/A
10,NYG,DAL,N/A,N/A
11,MIN,SEA,N/A,N/A
12,LAC,NO,N/A,N/A
13,BUF,TEN,N/A,N/A
