,Home,Away,Day,Time
0,GB,SF,N/A,N/A
1,DEN,ATL,N/A,N/A
2,SEA,BUF,N/A,N/A
3,CHI,TEN,N/A,N/A
4,BAL,IND,N/A,N/A
5,CAR,KC,N/A,N/A
6,DET,MIN,N/A,N/A
7,NYG,WSH,N/A,N/A
8,HOU,JAX,N/A,N/A
9,LV,LAC,N/A,N/A
10,PIT,DAL,N/A,N/A
11,MIA,ARI,N/A,N/A
12,NO,TB,N/A,N/A
13,NE,NYJ,N/A,N/A
