,Home,Away,Day,Time
0,NE,LAR,N/A,N/A
1,HOU,CHI,N/A,N/A
2,DAL,CIN,N/A,N/A
3,KC,MIA,N/A,N/A
4,ARI,NYG,N/A,N/A
5,MIN,TB,N/A,N/A
6,DEN,CAR,N/A,N/A
7,TEN,JAX,N/A,N/A
8,IND,LV,N/A,N/A
9,NYJ,SEA,N/A,N/A
10,GB,DET,N/A,N/A
11,NO,PHI,N/A,N/A
12,ATL,LAC,N/A,N/A
13,WSH,SF,N/A,N/A
14,PIT,BUF,N/A,N/A
15,BAL,CLE,N/A,N/A
